#Fichier XDMF_DATA
#Analysed Files: /home/mlamari/Post_Doc_1/Test_Preliminaire/FEniCSX/J_TestMaille/results_plasticity_Dogbone_vM_maille_01_tempsx4/results_.vtm
#[1] Increment   [2] VonMisesStressBulk   [3] CumulativePlasticStrainBulk   [4] TotalStrainBulk   [5] StressXXBulk   [6] PlasticStrainBulk   [7] ForceBordGauche   [8] StressXXBordGauche   [9] TotalStrainBordGauche   [10] VonMisesStressOzx   [11] CumulativePlasticStrainOzx   [12] TotalStrainOzx   [13] StressXXOzx   [14] PlasticStrainOzx
00144   63.0062079   0.0   0.0003152   63.1273448   0.0   31.5250584   21.0167056   9.87e-05   62.7606346   0.0   0.0003142   62.9717891   0.0   
00145   63.443751   0.0   0.0003174   63.5657292   0.0   31.7439824   21.1626549   9.94e-05   63.1964723   0.0   0.0003164   63.4090932   0.0   
00146   63.8812941   0.0   0.0003196   64.0041135   0.0   31.9629064   21.3086043   0.0001   63.63231   0.0   0.0003186   63.8463973   0.0   
00147   64.3188372   0.0   0.0003218   64.4424979   0.0   32.1818304   21.4545536   0.0001007   64.0681478   0.0   0.0003207   64.2837013   0.0   
00148   64.7563803   0.0   0.000324   64.8808822   0.0   32.4007544   21.600503   0.0001014   64.5039855   0.0   0.0003229   64.7210055   0.0   
00149   65.1939234   0.0   0.0003262   65.3192665   0.0   32.6196784   21.7464523   0.0001021   64.9398232   0.0   0.0003251   65.1583096   0.0   
00150   65.6314665   0.0   0.0003284   65.7576509   0.0   32.8386024   21.8924016   0.0001028   65.375661   0.0   0.0003273   65.5956137   0.0   
00151   66.0690096   0.0   0.0003306   66.1960352   0.0   33.0575265   22.038351   0.0001035   65.8114987   0.0   0.0003295   66.0329177   0.0   
00152   66.5065528   0.0   0.0003327   66.6344195   0.0   33.2764505   22.1843003   0.0001041   66.2473364   0.0   0.0003316   66.4702219   0.0   
00153   66.9440959   0.0   0.0003349   67.0728039   0.0   33.4953745   22.3302497   0.0001048   66.6831742   0.0   0.0003338   66.9075259   0.0   
00154   67.3816389   0.0   0.0003371   67.5111882   0.0   33.7142985   22.476199   0.0001055   67.119012   0.0   0.000336   67.3448301   0.0   
00155   67.8191821   0.0   0.0003393   67.9495726   0.0   33.9332225   22.6221483   0.0001062   67.5548497   0.0   0.0003382   67.7821341   0.0   
00156   68.2567252   0.0   0.0003415   68.3879569   0.0   34.1521466   22.7680977   0.0001069   67.9906875   0.0   0.0003404   68.2194381   0.0   
00157   68.6942683   0.0   0.0003437   68.8263412   0.0   34.3710704   22.914047   0.0001076   68.4265251   0.0   0.0003426   68.6567423   0.0   
00158   69.1318114   0.0   0.0003459   69.2647256   0.0   34.5899946   23.0599964   0.0001083   68.8623628   0.0   0.0003447   69.0940464   0.0   
00159   69.5693545   0.0   0.0003481   69.7031099   0.0   34.8089185   23.2059457   0.0001089   69.2982005   0.0   0.0003469   69.5313505   0.0   
00160   70.0068976   0.0   0.0003503   70.1414943   0.0   35.0278426   23.3518951   0.0001096   69.7340383   0.0   0.0003491   69.9686546   0.0   
